;entrydate;title;gender;city;age;salary;experience;last_job;updated;link
89;08.04.2020;Резюме Руководитель;Мужчина;Краснодар;31;40;7;Империя Ковки;08.04.2020;https://hh.ru/resume/731740880003a0cbd10039ed1f734a64417473
90;08.04.2020;Резюме Директор по продажам;Мужчина;Москва;31;150;5;ООО Профтест;08.04.2020;https://hh.ru/resume/e839e9c2000725eb8d0039ed1f4654646b5653
91;08.04.2020;Резюме Менеджер по продажам/Торговый представитель;Мужчина;Сочи;22;50;null;ООО?Альфа Кредит?;08.04.2020;https://hh.ru/resume/113557560005844a840039ed1f4778527a6e6f
92;08.04.2020;Резюме Главный специалист по работе с клиентами;Женщина;Москва;31;80;10;Fortex Consulting Group;08.04.2020;https://hh.ru/resume/aefc8b8000003943230039ed1f736563726574
93;08.04.2020;Резюме Менеджер по продажам;Мужчина;Самара;28;50;5;ООО РОТОР;08.04.2020;https://hh.ru/resume/554924b20003161e8b0039ed1f534f76556f58
94;08.04.2020;Резюме Торговый представитель/Супервайзер;Женщина;Санкт-Петербург;27;50;6;"ООО ""ЭКО БИО КОМ""";08.04.2020;https://hh.ru/resume/76535d9f00019939700039ed1f7533754e6f61
95;08.04.2020;Резюме Торговый представитель;Мужчина;Москва;38;70;14;Формула контроля;08.04.2020;https://hh.ru/resume/f3422f250007902e140039ed1f525044745530
96;08.04.2020;Резюме Менеджер по продажам ;Женщина;Москва;24;90;null;С.С.С.Р;08.04.2020;https://hh.ru/resume/425e82700003e7864a0039ed1f356e59396979
97;08.04.2020;Резюме Менеджер по продажам;Мужчина;Санкт-Петербург;40;50;10;"ООО ""АП-Про""";08.04.2020;https://hh.ru/resume/cbb0a18100053a887e0039ed1f6145444e4461
98;08.04.2020;Резюме Региональный менеджер;Мужчина;Краснодар;41;50;19;"ООО ""Стимул-Колор косметик"" -  Продажа косметики.";08.04.2020;https://hh.ru/resume/b0d6d5aa0000ff353d0039ed1f56416d594931
99;08.04.2020;Резюме Администратор ,оператор, ст кассир ,товаровед ;Женщина;Пушкино (Московская область);35;45;10;ООО Ростком , СЦ Дарвин ;08.04.2020;https://hh.ru/resume/0ecacbfe0001d0ad830039ed1f5841634f5772
